Intersection 1 Lat,Intersection 1 Lon,Intersection 2 Lat,Intersection 2 Lon,Road Name,Distance (ft)
34.0315334,-118.280863,34.0312666,-118.2802529,Saint James Place,208.6
34.0315334,-118.280863,34.0305871,-118.2814791,Scarff Street,392.3
34.0312666,-118.2802529,34.0311488,-118.2799829,Saint James Place,92.3
34.0312666,-118.2802529,34.0315334,-118.280863,Saint James Place,208.6
34.0312666,-118.2802529,34.0322771,-118.279607,Saint James Park,417.5
34.0190242,-118.2944296,34.0190332,-118.2977159,West 37th Drive,993.7
34.0190242,-118.2944296,34.019028,-118.2919687,West 37th Drive,744.1
34.0190242,-118.2944296,34.0183522,-118.2944346,South Catalina Street,245.2
34.0190242,-118.2944296,34.0199597,-118.2944316,South Catalina Street,341.3
34.0190332,-118.2977159,34.0190242,-118.2944296,West 37th Drive,993.7
34.0190332,-118.2977159,34.0183642,-118.2977196,Raymond Avenue,244.1
34.0190332,-118.2977159,34.0199675,-118.2977281,Raymond Avenue,340.9
34.011114,-118.2774277,34.012071,-118.2767966,Broadway Place,397.9
34.011114,-118.2774277,34.0111089,-118.2783655,West Martin Luther King Junior Boulevard,283.6
34.011114,-118.2774277,34.0111326,-118.274031,West Martin Luther King Junior Boulevard,1027.2
34.0111089,-118.2783655,34.0119865,-118.278347,South Broadway,320.2
34.0111089,-118.2783655,34.011114,-118.2774277,West Martin Luther King Junior Boulevard,283.6
34.0111089,-118.2783655,34.0111059,-118.2789125,West Martin Luther King Junior Boulevard,165.4
34.0110913,-118.2815982,34.0111237,-118.2820064,West Martin Luther King Junior Boulevard,124.1
34.0110913,-118.2815982,34.0110977,-118.2804323,West Martin Luther King Junior Boulevard,352.6
34.0110814,-118.2872312,34.0118475,-118.2872504,South Hoover Street,279.5
34.0110814,-118.2872312,34.0111418,-118.2827383,West Martin Luther King Junior Boulevard,1359.1
34.0169801,-118.2742446,34.0178587,-118.2746093,Broadway Place,339.1
34.0169801,-118.2742446,34.0172646,-118.2749893,West 36th Street,248.0
34.0169801,-118.2742446,34.0164067,-118.2740542,Broadway Place,218.0
34.0160607,-118.2742823,34.0164067,-118.2740542,Broadway Place,144.0
34.0160607,-118.2742823,34.0165228,-118.2754708,West 36th Place,397.0
34.0160607,-118.2742823,34.0152536,-118.2748072,Broadway Place,334.5
34.0144261,-118.2753142,34.0152536,-118.2748072,Broadway Place,338.6
34.0144261,-118.2753142,34.0149448,-118.2764545,West 37th Place,393.3
34.0144261,-118.2753142,34.0140478,-118.2755653,Broadway Place,157.5
34.0140478,-118.2755653,34.0136051,-118.2758519,Broadway Place,183.3
34.0140478,-118.2755653,34.0140691,-118.27404,West 37th Place,461.3
34.0140478,-118.2755653,34.0144261,-118.2753142,Broadway Place,157.5
34.0136051,-118.2758519,34.0140478,-118.2755653,Broadway Place,183.3
34.0136051,-118.2758519,34.0141138,-118.2769934,West 38th Street,391.9
34.0136051,-118.2758519,34.0130375,-118.2762005,Broadway Place,232.4
34.0130375,-118.2762005,34.0130873,-118.274037,West 38th Street,654.5
34.0130375,-118.2762005,34.012071,-118.2767966,Broadway Place,396.0
34.0130375,-118.2762005,34.0136051,-118.2758519,Broadway Place,232.4
34.0130873,-118.274037,34.0130375,-118.2762005,West 38th Street,654.5
34.0130873,-118.274037,34.0140691,-118.27404,South Main Street,358.2
34.0130873,-118.274037,34.0120626,-118.274034,South Main Street,373.8
34.0254272,-118.2729547,34.0248703,-118.2733079,South Grand Avenue,229.5
34.0309262,-118.2959152,34.0309217,-118.2969976,West 27th Street,327.3
34.0309262,-118.2959152,34.0304793,-118.2959159,Budlong Avenue,163.0
34.0309217,-118.2969976,34.0309171,-118.2981006,West 27th Street,333.5
34.0309217,-118.2969976,34.0309262,-118.2959152,West 27th Street,327.3
34.0309217,-118.2969976,34.0297019,-118.2969934,Van Buren Place,445.0
34.0309217,-118.2969976,34.0321796,-118.2969992,Van Buren Place,458.9
34.0309171,-118.2981006,34.0309217,-118.2969976,West 27th Street,333.5
34.0309171,-118.2981006,34.0291223,-118.298095,Raymond Avenue,654.8
34.0304902,-118.291558,34.030478,-118.294249,West 27th Street,813.6
34.0304902,-118.291558,34.0295966,-118.2915559,South Vermont Avenue,326.1
34.0304902,-118.291558,34.0315874,-118.2915631,South Vermont Avenue,400.3
34.030478,-118.294249,34.0304793,-118.2959159,West 27th Street,504.0
34.030478,-118.294249,34.0304902,-118.291558,West 27th Street,813.6
34.030478,-118.294249,34.0315851,-118.294256,South Catalina Street,403.9
34.0304793,-118.2959159,34.030478,-118.294249,West 27th Street,504.0
34.0304793,-118.2959159,34.029569,-118.2959172,Budlong Avenue,332.1
34.0304793,-118.2959159,34.0309262,-118.2959152,Budlong Avenue,163.0
34.0154604,-118.2915488,34.0154921,-118.2925073,West 39th Street,291.1
34.0154604,-118.2915488,34.0158978,-118.2915467,South Vermont Avenue,159.6
34.0154604,-118.2915488,34.0141342,-118.2916107,South Vermont Avenue,487.8
34.0154921,-118.2925073,34.0154982,-118.2930854,West 39th Street,174.8
34.0154921,-118.2925073,34.0141376,-118.2925292,Wisconsin Street,495.7
34.0154921,-118.2925073,34.0154604,-118.2915488,West 39th Street,291.1
34.0154982,-118.2930854,34.0154968,-118.2933412,West 39th Street,77.4
34.0154982,-118.2930854,34.0154921,-118.2925073,West 39th Street,174.8
34.0154982,-118.2930854,34.0168301,-118.2930921,Wisconsin Street,485.9
34.0154968,-118.2933412,34.0154982,-118.2930854,West 39th Street,77.4
